,Applicant_ID,Owned_Car,Owned_Realty,Total_Children,Total_Income,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
104,5008932,0,1,0,297000,1,0,0,0,1,43,9,0,6,1
105,5008933,0,1,0,297000,1,0,0,0,1,43,9,0,6,1
106,5008934,0,1,0,297000,1,0,0,0,1,43,9,0,5,1
107,5008935,0,1,0,297000,1,0,0,0,1,43,9,0,5,1
108,5008936,0,1,0,297000,1,0,0,0,1,43,9,0,4,1
109,5008937,0,1,0,297000,1,0,0,0,1,43,9,0,2,1
110,5008938,0,1,0,297000,1,0,0,0,1,43,9,0,2,1
111,5008939,0,1,0,297000,1,0,0,0,1,43,9,0,1,1
112,5008940,0,1,0,297000,1,0,0,0,1,43,9,0,2,1
113,5008941,0,1,0,297000,1,0,0,0,1,43,9,0,8,1
114,5008942,0,0,0,157500,1,0,1,0,2,38,14,3,13,1
115,5008943,0,0,0,157500,1,0,1,0,2,38,14,0,15,1
116,5008944,0,0,0,157500,1,0,1,0,2,38,14,3,13,1
117,5008945,0,0,0,157500,1,0,1,0,2,38,14,3,13,1
118,5008946,0,0,0,157500,1,0,1,0,2,38,14,3,13,1
119,5008947,0,1,0,135000,1,1,1,0,2,43,4,0,13,1
120,5008948,0,1,0,135000,1,1,1,0,2,43,4,0,13,1
121,5008949,0,1,0,135000,1,1,1,0,2,43,4,0,1,1
122,5008950,0,1,0,135000,1,1,1,0,2,43,4,0,13,1
123,5008955,1,1,0,135000,1,0,0,0,2,49,5,0,5,1
124,5008956,1,1,0,135000,1,0,0,0,2,49,5,0,40,1
125,5008957,1,1,0,135000,1,0,0,0,2,49,5,0,40,1
126,5008958,1,1,0,135000,1,0,0,0,2,49,5,0,4,1
127,5008959,1,1,0,135000,1,0,0,0,2,49,5,0,16,1
128,5008960,1,1,0,135000,1,0,0,0,2,49,5,0,29,1
129,5008962,1,1,0,135000,1,0,0,0,2,49,5,0,27,1
130,5008963,1,1,0,135000,1,0,0,0,2,49,5,0,39,1
131,5008981,1,1,0,112500,1,0,1,0,2,58,7,0,11,1
132,5008983,1,1,0,112500,1,0,1,0,2,58,7,0,12,1
133,5008984,1,1,0,112500,1,0,1,0,2,58,7,0,59,1
134,5008986,1,1,0,112500,1,0,1,0,2,58,7,0,11,1
135,5008987,1,1,0,112500,1,0,1,0,2,58,7,0,11,1
136,5008988,1,1,0,112500,1,0,1,0,2,58,7,0,17,1
137,5008991,1,1,0,270000,1,1,1,0,1,46,4,0,29,1
138,5008992,1,1,0,270000,1,1,1,0,1,46,4,0,7,1
139,5008993,1,1,0,270000,1,1,1,0,1,46,4,0,18,1
140,5008994,1,1,0,270000,1,1,1,0,1,46,4,0,20,1
141,5008995,1,1,0,270000,1,1,1,0,1,46,4,0,19,1
142,5008998,1,1,0,270000,1,0,0,1,2,30,3,0,4,1
143,5008999,1,1,0,270000,1,0,0,1,2,30,3,0,4,1
144,5009000,1,1,0,157500,1,0,0,0,2,28,3,0,23,1
145,5009001,0,1,0,166500,1,1,1,0,2,52,18,0,7,1
146,5009002,0,1,0,166500,1,1,1,0,2,52,18,0,7,1
147,5009005,0,1,0,166500,1,1,1,0,2,52,18,0,7,1
148,5009006,0,1,0,166500,1,1,1,0,2,52,18,0,11,1
149,5009007,0,1,0,166500,1,1,1,0,2,52,18,0,11,1
150,5009008,0,1,0,166500,1,1,1,0,2,52,18,0,7,1
151,5009009,0,1,0,166500,1,1,1,0,2,52,18,0,11,1
152,5009010,0,1,0,166500,1,1,1,0,2,52,18,0,7,1
153,5009012,0,1,0,166500,1,1,1,0,2,52,18,0,6,1
154,5009014,0,1,0,166500,1,1,1,0,2,52,18,0,7,1
155,5009027,1,1,0,270000,1,0,0,1,2,55,30,0,22,1
156,5009028,1,1,0,225000,1,0,0,0,2,40,8,1,10,1
157,5009029,1,1,0,225000,1,0,0,0,2,40,8,0,16,1
158,5009031,0,1,0,315000,1,0,0,0,1,29,4,0,14,1
159,5009032,0,1,0,315000,1,0,0,0,1,29,4,0,14,1
160,5009039,0,1,2,157500,1,0,0,0,3,40,2,0,9,1
161,5009040,0,1,2,157500,1,0,0,0,3,40,2,0,4,1
162,5009042,0,1,0,148500,1,0,0,0,2,49,3,0,21,1
163,5009043,0,1,0,148500,1,0,0,0,2,49,3,0,19,1
164,5009044,0,1,0,148500,1,0,0,0,2,49,3,1,14,1
165,5009045,0,1,0,148500,1,0,0,0,2,49,3,1,14,1
166,5009046,0,1,0,148500,1,0,0,0,2,49,3,0,8,1
167,5009047,0,1,0,148500,1,0,0,0,2,49,3,0,12,1
168,5009050,0,1,2,202500,1,0,0,1,4,31,7,0,14,1
169,5009051,0,1,2,202500,1,0,0,1,4,31,7,1,42,1
170,5009052,0,1,2,202500,1,0,0,1,4,31,7,0,48,1
171,5009053,0,1,2,202500,1,0,0,1,4,31,7,0,14,1
172,5009055,0,1,2,202500,1,0,0,1,4,31,7,0,14,1
173,5009056,0,1,0,202500,1,1,0,0,1,25,3,0,10,1
174,5009057,0,1,0,202500,1,1,0,0,1,25,3,0,10,1
175,5009058,1,1,0,112500,1,0,1,1,1,21,3,0,1,1
176,5009062,1,1,0,315000,1,0,0,0,2,29,6,0,38,1
177,5009063,1,1,0,315000,1,0,0,0,2,29,6,0,28,1
178,5009064,1,1,0,315000,1,0,0,0,2,29,6,0,5,1
179,5009065,1,1,0,315000,1,0,0,0,2,29,6,0,11,1
180,5009066,1,1,0,315000,1,0,0,0,2,29,6,0,16,1
181,5009067,1,1,0,315000,1,0,0,0,2,29,6,0,5,1
182,5009068,1,1,0,315000,1,0,0,0,2,29,6,0,23,1
183,5009069,1,1,0,315000,1,0,0,0,2,29,6,0,36,1
184,5009070,1,1,0,315000,1,0,0,0,2,29,6,0,38,1
185,5009071,1,1,0,270000,1,0,1,1,2,29,9,0,21,1
186,5009072,1,1,0,270000,1,0,1,1,2,29,9,0,24,1
187,5009074,1,1,1,450000,1,0,1,1,3,49,2,0,23,1
188,5009075,1,1,1,450000,1,0,1,1,3,49,2,0,24,1
189,5009078,0,1,1,180000,1,0,0,0,3,39,4,0,31,1
190,5009079,0,1,0,112500,1,0,0,1,2,28,9,0,44,1
191,5009080,0,1,0,112500,1,0,0,1,2,28,9,4,12,1
192,5009081,0,1,0,112500,1,0,0,1,2,28,9,0,17,1
193,5009083,0,1,0,90000,1,0,0,0,2,57,16,0,48,1
194,5009084,0,1,0,90000,1,0,0,0,2,57,16,0,3,1
195,5009088,1,0,2,202500,1,0,0,0,4,41,9,0,41,1
196,5009089,1,0,2,202500,1,0,0,0,4,41,9,0,40,1
197,5009090,1,1,0,247500,1,0,0,0,2,35,12,0,14,1
198,5009092,1,1,1,765000,1,1,0,0,3,34,4,2,2,0
199,5009094,1,1,1,765000,1,1,0,0,3,34,4,0,4,1
200,5009095,1,1,1,765000,1,1,0,0,3,34,4,0,4,1
201,5009096,0,1,1,270000,1,0,0,1,3,38,13,0,25,1
202,5009097,0,1,1,270000,1,0,0,1,3,38,13,0,15,1
203,5009098,0,1,1,270000,1,0,0,1,3,38,13,0,18,1
204,5009099,0,1,0,315000,1,0,0,0,1,37,2,0,29,1
205,5009100,0,1,0,315000,1,0,0,0,1,37,2,0,28,1
206,5009103,1,1,2,157500,1,0,1,0,4,36,12,0,39,1
207,5009104,1,1,2,157500,1,0,1,0,4,36,12,0,28,1
208,5009105,1,1,2,157500,1,0,1,0,4,36,12,0,31,1
209,5009106,1,1,2,157500,1,0,1,0,4,36,12,0,61,1
210,5009108,0,1,0,360000,1,0,0,0,2,42,8,0,8,1
211,5009109,0,1,0,360000,1,0,0,0,2,42,8,0,21,1
212,5009110,0,1,0,112500,1,0,0,1,2,25,1,1,3,1
213,5009141,0,0,0,135000,1,1,1,0,2,27,5,0,34,1
214,5009142,0,0,0,135000,1,1,1,0,2,27,5,0,12,1
215,5009145,1,0,0,315000,1,1,1,0,2,44,11,0,36,1
216,5009146,1,0,0,315000,1,1,1,0,2,44,11,1,25,1
217,5009147,1,0,0,315000,1,1,1,0,2,44,11,0,13,1
218,5009149,1,0,0,315000,1,1,1,0,2,44,11,0,8,1
219,5009150,1,0,0,315000,1,1,1,0,2,44,11,1,17,1
220,5009151,0,0,0,180000,1,0,0,0,2,54,8,0,30,1
221,5009152,0,0,0,180000,1,0,0,0,2,54,8,0,48,1
222,5009153,0,0,0,180000,1,0,0,0,2,54,8,0,48,1
223,5009154,0,0,0,180000,1,0,0,0,2,54,8,0,29,1
224,5009155,0,0,0,180000,1,0,0,0,2,54,8,0,28,1
225,5009156,0,0,0,180000,1,0,0,0,2,54,8,0,18,1
226,5009157,0,0,0,180000,1,0,0,0,2,54,8,0,48,1
227,5009158,0,0,0,180000,1,0,0,0,2,54,8,0,44,1
228,5009159,0,0,0,180000,1,0,0,0,2,54,8,0,15,1
229,5009160,0,0,0,180000,1,0,0,0,2,54,8,0,22,1
230,5009161,0,0,0,180000,1,0,0,0,2,54,8,2,22,1
231,5009162,0,0,0,180000,1,0,0,0,2,54,8,0,48,1
232,5009163,0,0,0,157500,1,0,1,0,2,36,9,0,13,1
233,5009164,0,0,0,157500,1,0,1,0,2,36,9,0,17,1
234,5009165,0,0,0,157500,1,0,1,0,2,36,9,0,17,1
235,5009166,0,0,0,157500,1,0,1,0,2,36,9,0,17,1
236,5009168,0,0,0,157500,1,0,1,0,2,36,9,0,17,1
237,5009177,1,0,0,229500,1,0,0,0,2,51,4,1,49,1
238,5009178,1,0,0,229500,1,0,0,0,2,51,4,1,34,1
239,5009179,1,0,0,229500,1,0,0,0,2,51,4,0,13,1
240,5009180,1,0,0,229500,1,0,0,0,2,51,4,1,38,1
241,5009181,1,0,0,229500,1,0,0,0,2,51,4,1,12,1
242,5009182,1,0,0,229500,1,0,0,0,2,51,4,0,35,1
243,5009183,1,0,0,229500,1,0,0,0,2,51,4,0,32,1
244,5009186,0,0,0,270000,1,1,1,0,2,49,16,1,3,1
245,5009187,0,0,0,270000,1,1,1,0,2,49,16,0,6,1
246,5009188,0,0,0,270000,1,1,1,0,2,49,16,0,17,1
247,5009189,0,0,0,270000,1,1,1,0,2,49,16,0,17,1
248,5009190,0,0,0,270000,1,1,1,0,2,49,16,0,23,1
249,5009191,0,0,0,270000,1,1,1,0,2,49,16,0,17,1
250,5009192,0,0,0,270000,1,1,1,0,2,49,16,0,34,1
251,5009193,0,0,0,270000,1,1,1,0,2,49,16,1,29,1
252,5009195,0,0,0,292500,1,1,1,0,2,58,24,0,7,1
253,5009196,0,0,0,292500,1,1,1,0,2,58,24,0,8,1
254,5009198,0,0,0,292500,1,1,1,0,2,58,24,0,46,1
255,5009201,0,0,0,292500,1,1,1,0,2,58,24,0,2,1
256,5009202,0,0,0,292500,1,1,1,0,2,58,24,0,7,1
257,5009203,0,0,0,292500,1,1,1,0,2,58,24,0,21,1
258,5009204,0,0,0,292500,1,1,1,0,2,58,24,0,3,1
259,5009205,0,0,0,292500,1,1,1,0,2,58,24,0,6,1
260,5009206,0,0,0,292500,1,1,1,0,2,58,24,0,22,1
261,5009207,0,0,0,292500,1,1,1,0,2,58,24,0,22,1
262,5009208,0,0,0,292500,1,1,1,0,2,58,24,0,42,1
263,5009209,0,0,0,292500,1,1,1,0,2,58,24,1,45,1
264,5009210,0,0,0,292500,1,1,1,0,2,58,24,0,4,1
265,5009213,0,0,0,270000,1,1,1,0,2,34,3,0,23,1
266,5009215,0,0,0,270000,1,1,1,0,2,34,3,1,57,1
267,5009216,0,0,0,270000,1,1,1,0,2,34,3,0,7,1
268,5009217,0,0,0,270000,1,1,1,0,2,34,3,0,7,1
269,5009220,1,0,0,225000,1,1,0,0,2,41,3,0,28,1
270,5009222,1,0,0,225000,1,1,0,0,2,41,3,0,48,1
271,5009223,1,0,0,225000,1,1,0,0,2,41,3,0,41,1
272,5009224,1,0,0,225000,1,1,0,0,2,41,3,0,51,1
273,5009225,1,0,0,225000,1,1,0,0,2,41,3,0,28,1
274,5009226,1,0,0,225000,1,1,0,0,2,41,3,0,48,1
275,5009227,1,0,0,225000,1,1,0,0,2,41,3,0,21,1
276,5009232,1,0,0,225000,1,1,0,0,2,41,3,0,36,1
277,5009233,1,0,0,225000,1,1,0,0,2,41,3,0,48,1
278,5009234,1,0,0,225000,1,1,0,0,2,41,3,0,14,1
279,5009236,1,0,0,225000,1,1,0,0,2,41,3,0,31,1
280,5009238,1,0,0,157500,1,0,1,0,2,30,3,0,21,1
281,5009239,1,0,0,157500,1,0,1,0,2,30,3,0,15,1
282,5009240,1,0,0,157500,1,0,1,0,2,30,3,0,34,1
283,5009241,1,0,0,157500,1,0,1,0,2,30,3,0,11,1
284,5009242,0,0,0,74250,1,0,1,0,1,53,15,0,35,1
285,5009243,0,0,0,74250,1,0,1,0,1,53,15,0,8,1
286,5009244,0,0,0,74250,1,0,1,0,1,53,15,0,9,1
287,5009249,1,0,1,135000,1,1,0,0,3,28,3,0,27,1
288,5009250,1,0,1,135000,1,1,0,0,3,28,3,0,10,1
289,5009251,1,0,1,135000,1,1,0,0,3,28,3,0,27,1
290,5009252,1,0,1,135000,1,1,0,0,3,28,3,0,13,1
291,5009253,1,0,1,135000,1,1,0,0,3,28,3,0,23,1
292,5009255,0,0,0,144000,1,0,0,0,1,44,25,0,7,1
293,5009257,0,0,0,144000,1,0,0,0,1,44,25,0,8,1
294,5009258,0,0,0,144000,1,0,0,0,1,44,25,0,8,1
295,5009260,0,0,0,202500,1,0,1,0,2,40,4,0,20,1
296,5009261,0,0,0,202500,1,0,1,0,2,40,4,1,21,1
297,5009262,0,0,0,202500,1,0,1,0,2,40,4,0,9,1
298,5009263,0,0,0,202500,1,0,1,0,2,40,4,1,16,1
299,5009265,1,0,0,337500,1,1,1,0,2,29,5,0,36,1
300,5009266,1,0,0,337500,1,1,1,0,2,29,5,0,16,1
301,5009267,1,0,0,337500,1,1,1,0,2,29,5,0,18,1
302,5009268,1,0,0,337500,1,1,1,0,2,29,5,0,27,1
303,5009269,1,0,0,337500,1,1,1,0,2,29,5,0,35,1
304,5009270,0,0,0,180000,1,0,1,0,2,41,7,0,29,1
305,5009271,0,0,0,180000,1,0,1,0,2,41,7,0,30,1
306,5009272,0,0,0,180000,1,0,1,0,2,41,7,0,26,1
307,5009274,0,0,0,180000,1,0,1,0,2,41,7,0,41,1
308,5009275,0,0,0,180000,1,0,1,0,2,41,7,0,30,1
309,5009276,0,0,0,180000,1,0,1,0,2,41,7,0,16,1
310,5009277,0,0,0,180000,1,0,1,0,2,41,7,0,27,1
311,5009278,0,0,0,130500,1,0,1,0,2,42,14,0,21,1
312,5009279,0,0,0,130500,1,0,1,0,2,42,14,0,41,1
313,5009280,0,0,0,130500,1,0,1,0,2,42,14,0,41,1
314,5009281,0,0,0,130500,1,0,1,0,2,42,14,0,40,1
315,5009284,0,0,0,130500,1,0,1,0,2,42,14,0,59,1
316,5009285,0,0,0,130500,1,0,1,0,2,42,14,0,17,1
317,5009286,0,0,0,130500,1,0,1,0,2,42,14,0,31,1
318,5009287,0,0,0,130500,1,0,1,0,2,42,14,0,25,1
319,5009289,0,0,0,130500,1,0,1,0,2,42,14,0,9,1
320,5009290,0,0,0,130500,1,0,1,0,2,42,14,0,21,1
321,5009291,0,0,0,130500,1,0,1,0,2,42,14,0,10,1
322,5009292,0,0,0,130500,1,0,1,0,2,42,14,0,35,1
323,5009293,0,0,0,130500,1,0,1,0,2,42,14,0,40,1
324,5009294,0,0,0,130500,1,0,1,0,2,42,14,0,31,1
325,5009297,0,0,0,193500,1,0,1,0,1,45,6,1,22,1
326,5009299,0,0,0,193500,1,0,1,0,1,45,6,1,33,1
327,5009300,0,0,0,193500,1,0,1,0,1,45,6,0,13,1
328,5009301,0,0,0,193500,1,0,1,0,1,45,6,0,9,1
329,5009325,1,0,0,267750,1,0,1,0,2,58,13,0,17,1
330,5009327,1,0,0,267750,1,0,1,0,2,58,13,0,18,1
331,5009328,1,0,0,267750,1,0,1,0,2,58,13,0,11,1
332,5009329,1,0,0,267750,1,0,1,0,2,58,13,0,18,1
333,5009330,1,0,0,267750,1,0,1,0,2,58,13,0,15,1
334,5009331,1,0,0,267750,1,0,1,0,2,58,13,0,18,1
335,5009332,1,0,0,267750,1,0,1,0,2,58,13,0,15,1
336,5009333,1,0,0,267750,1,0,1,0,2,58,13,0,17,1
337,5009335,0,0,0,139500,1,0,0,0,1,45,20,0,10,1
338,5009336,0,0,0,139500,1,0,0,0,1,45,20,0,17,1
339,5009337,0,0,0,139500,1,0,0,0,1,45,20,0,17,1
340,5009338,0,0,0,67500,1,1,1,0,2,52,15,0,13,1
341,5009339,0,0,0,67500,1,1,1,0,2,52,15,3,10,1
342,5009340,1,0,0,252000,1,0,0,0,2,30,7,0,35,1
343,5009341,1,0,0,252000,1,0,0,0,2,30,7,0,35,1
344,5009342,1,0,0,252000,1,0,0,0,2,30,7,0,29,1
345,5009343,1,0,0,252000,1,0,0,0,2,30,7,0,29,1
346,5009344,1,0,0,252000,1,0,0,0,2,30,7,0,16,1
347,5009345,1,0,0,252000,1,0,0,0,2,30,7,0,24,1
348,5009346,1,0,0,252000,1,0,0,0,2,30,7,0,10,1
349,5009349,0,0,0,180000,1,0,1,0,2,58,1,0,31,1
350,5009354,0,0,0,180000,1,0,1,0,2,58,1,1,5,1
351,5009355,0,0,0,135000,1,1,1,0,2,54,15,0,26,1
352,5009358,0,0,0,135000,1,1,1,0,2,54,15,0,26,1
353,5009359,1,0,0,900000,1,0,0,0,1,53,21,6,10,1
354,5009360,1,0,0,900000,1,0,0,0,1,53,21,2,7,1
355,5009361,1,0,0,180000,1,1,0,0,2,41,2,0,21,1
356,5009362,1,0,0,180000,1,1,0,0,2,41,2,0,17,1
357,5009363,1,0,0,180000,1,1,0,0,2,41,2,0,17,1
358,5009364,1,0,0,180000,1,1,0,0,2,41,2,0,5,1
359,5009365,1,0,0,180000,1,1,0,0,2,41,2,0,20,1
360,5009366,1,0,0,180000,1,1,0,0,2,41,2,1,58,1
361,5009367,1,0,0,180000,1,1,0,0,2,41,2,0,44,1
362,5009378,0,0,2,225000,1,1,0,1,4,31,5,0,40,1
363,5009379,1,0,1,135000,1,1,0,0,3,26,4,0,5,1
364,5009380,1,0,1,135000,1,1,0,0,3,26,4,0,5,1
365,5009381,1,0,1,135000,1,1,0,0,3,26,4,0,9,1
366,5009382,1,0,1,135000,1,1,0,0,3,26,4,0,10,1
367,5009383,0,0,0,450000,1,0,1,0,2,41,16,0,31,1
368,5009384,0,0,0,450000,1,0,1,0,2,41,16,0,34,1
369,5009386,0,0,0,450000,1,0,1,0,2,41,16,0,7,1
370,5009387,0,0,0,450000,1,0,1,0,2,41,16,0,7,1
371,5009389,0,0,0,279000,1,0,0,0,1,31,9,1,16,1
372,5009391,0,0,0,279000,1,0,0,0,1,31,9,1,34,1
373,5009392,0,0,0,279000,1,0,0,0,1,31,9,0,36,1
374,5009393,0,0,0,279000,1,0,0,0,1,31,9,0,32,1
375,5009394,0,0,0,279000,1,0,0,0,1,31,9,1,11,1
376,5009395,0,0,0,279000,1,0,0,0,1,31,9,0,6,1
377,5009396,0,0,1,76500,1,1,0,0,3,35,2,0,56,1
378,5009397,0,0,1,76500,1,1,0,0,3,35,2,0,59,1
379,5009398,0,0,1,76500,1,1,0,0,3,35,2,0,34,1
380,5009399,0,0,1,76500,1,1,0,0,3,35,2,0,59,1
381,5009400,0,0,1,76500,1,1,0,0,3,35,2,0,51,1
382,5009401,0,0,1,76500,1,1,0,0,3,35,2,0,57,1
383,5009402,0,0,0,202500,1,1,1,0,2,57,1,0,8,1
384,5009403,0,0,0,202500,1,1,1,0,2,57,1,0,45,1
385,5009404,0,0,2,67500,1,0,1,0,4,29,2,0,8,1
386,5009405,0,0,0,234000,1,1,1,0,2,39,7,0,21,1
387,5009406,0,0,0,234000,1,1,1,0,2,39,7,0,21,1
388,5009408,0,0,0,234000,1,1,1,0,2,39,7,0,38,1
389,5009410,0,0,0,234000,1,1,1,0,2,39,7,0,42,1
390,5009415,0,0,0,90000,1,1,1,0,1,53,2,3,5,1
391,5009416,0,0,0,90000,1,1,1,0,1,53,2,0,3,1
